2016-04-04 12:53:38,205 - Using selector: EpollSelector
2016-04-04 12:53:41,702 - ::1:50536 created channel #root
2016-04-04 12:53:43,383 - server << Frame(fin=True, opcode=1, data=b'aslkfja')
2016-04-04 12:53:43,383 - server >> Frame(fin=True, opcode=1, data=b'aslkfja')
2016-04-04 12:53:43,928 - server << Frame(fin=True, opcode=1, data=b'kljasdjf')
2016-04-04 12:53:43,929 - server >> Frame(fin=True, opcode=1, data=b'kljasdjf')
2016-04-04 12:53:44,200 - server << Frame(fin=True, opcode=1, data=b'alkjf')
2016-04-04 12:53:44,200 - server >> Frame(fin=True, opcode=1, data=b'alkjf')
2016-04-04 12:53:44,454 - server << Frame(fin=True, opcode=1, data=b'akljsdf')
2016-04-04 12:53:44,454 - server >> Frame(fin=True, opcode=1, data=b'akljsdf')
2016-04-04 12:53:44,692 - server << Frame(fin=True, opcode=1, data=b'lkajsdfl')
2016-04-04 12:53:44,692 - server >> Frame(fin=True, opcode=1, data=b'lkajsdfl')
2016-04-04 12:53:44,914 - server << Frame(fin=True, opcode=1, data=b'kjasd')
2016-04-04 12:53:44,915 - server >> Frame(fin=True, opcode=1, data=b'kjasd')
2016-04-04 12:53:45,156 - server << Frame(fin=True, opcode=1, data=b'klf')
2016-04-04 12:53:45,156 - server >> Frame(fin=True, opcode=1, data=b'klf')
2016-04-04 12:53:45,381 - server << Frame(fin=True, opcode=1, data=b'klasjf')
2016-04-04 12:53:45,381 - server >> Frame(fin=True, opcode=1, data=b'klasjf')
2016-04-04 12:53:45,595 - server << Frame(fin=True, opcode=1, data=b'kljas')
2016-04-04 12:53:45,596 - server >> Frame(fin=True, opcode=1, data=b'kljas')
2016-04-04 12:53:45,805 - server << Frame(fin=True, opcode=1, data=b'dfklja')
2016-04-04 12:53:45,806 - server >> Frame(fin=True, opcode=1, data=b'dfklja')
2016-04-04 12:53:46,015 - server << Frame(fin=True, opcode=1, data=b'sklfj')
2016-04-04 12:53:46,016 - server >> Frame(fin=True, opcode=1, data=b'sklfj')
2016-04-04 12:53:46,213 - server << Frame(fin=True, opcode=1, data=b'asjklf')
2016-04-04 12:53:46,214 - server >> Frame(fin=True, opcode=1, data=b'asjklf')
2016-04-04 12:53:46,461 - server << Frame(fin=True, opcode=1, data=b'klajsf')
2016-04-04 12:53:46,462 - server >> Frame(fin=True, opcode=1, data=b'klajsf')
2016-04-04 12:53:46,700 - server << Frame(fin=True, opcode=1, data=b'klajsf')
2016-04-04 12:53:46,700 - server >> Frame(fin=True, opcode=1, data=b'klajsf')
2016-04-04 12:53:46,891 - server << Frame(fin=True, opcode=1, data=b'lkjas')
2016-04-04 12:53:46,892 - server >> Frame(fin=True, opcode=1, data=b'lkjas')
2016-04-04 12:53:47,103 - server << Frame(fin=True, opcode=1, data=b'lfjka')
2016-04-04 12:53:47,104 - server >> Frame(fin=True, opcode=1, data=b'lfjka')
2016-04-04 12:53:47,305 - server << Frame(fin=True, opcode=1, data=b'slkfj')
2016-04-04 12:53:47,305 - server >> Frame(fin=True, opcode=1, data=b'slkfj')
2016-04-04 12:53:47,516 - server << Frame(fin=True, opcode=1, data=b'alskjdf')
2016-04-04 12:53:47,517 - server >> Frame(fin=True, opcode=1, data=b'alskjdf')
2016-04-04 12:53:47,728 - server << Frame(fin=True, opcode=1, data=b'aklsjdf')
2016-04-04 12:53:47,729 - server >> Frame(fin=True, opcode=1, data=b'aklsjdf')
2016-04-04 12:53:47,929 - server << Frame(fin=True, opcode=1, data=b'lakjsf')
2016-04-04 12:53:47,929 - server >> Frame(fin=True, opcode=1, data=b'lakjsf')
2016-04-04 12:53:48,155 - server << Frame(fin=True, opcode=1, data=b'klasjdf')
2016-04-04 12:53:48,156 - server >> Frame(fin=True, opcode=1, data=b'klasjdf')
2016-04-04 12:53:48,359 - server << Frame(fin=True, opcode=1, data=b'lajksdf')
2016-04-04 12:53:48,359 - server >> Frame(fin=True, opcode=1, data=b'lajksdf')
2016-04-04 12:53:48,597 - server << Frame(fin=True, opcode=1, data=b'klajsdfl')
2016-04-04 12:53:48,597 - server >> Frame(fin=True, opcode=1, data=b'klajsdfl')
2016-04-04 12:53:48,758 - server << Frame(fin=True, opcode=1, data=b'jkas')
2016-04-04 12:53:48,759 - server >> Frame(fin=True, opcode=1, data=b'jkas')
2016-04-04 12:53:48,950 - server << Frame(fin=True, opcode=1, data=b'kdfljal')
2016-04-04 12:53:48,951 - server >> Frame(fin=True, opcode=1, data=b'kdfljal')
2016-04-04 12:53:49,125 - server << Frame(fin=True, opcode=1, data=b'skdjf')
