2016-04-04 00:47:09,458 - Using selector: EpollSelector
2016-04-04 00:47:11,447 - ('::1', 57166, 0, 0) created channel #/
2016-04-04 00:47:12,747 - server << Frame(fin=True, opcode=1, data=b'asldfkja')
2016-04-04 00:47:12,748 - server >> Frame(fin=True, opcode=1, data=b'asldfkja')
2016-04-04 00:47:13,342 - server << Frame(fin=True, opcode=1, data=b'lkasjdf')
2016-04-04 00:47:13,342 - server >> Frame(fin=True, opcode=1, data=b'lkasjdf')
2016-04-04 00:47:13,778 - server << Frame(fin=True, opcode=1, data=b'asdlfajs')
2016-04-04 00:47:13,779 - server >> Frame(fin=True, opcode=1, data=b'asdlfajs')
2016-04-04 00:47:14,158 - server << Frame(fin=True, opcode=1, data=b'dfkajsdfl')
2016-04-04 00:47:14,158 - server >> Frame(fin=True, opcode=1, data=b'dfkajsdfl')
2016-04-04 00:47:14,349 - server << Frame(fin=True, opcode=1, data=b'kajsd')
2016-04-04 00:47:14,349 - server >> Frame(fin=True, opcode=1, data=b'kajsd')
2016-04-04 01:36:20,168 - server << Frame(fin=True, opcode=1, data=b'fkljasfas')
2016-04-04 01:36:20,168 - server >> Frame(fin=True, opcode=1, data=b'fkljasfas')
2016-04-04 01:36:21,106 - server << Frame(fin=True, opcode=1, data=b'asfasf')
2016-04-04 01:36:21,107 - server >> Frame(fin=True, opcode=1, data=b'asfasf')
2016-04-04 01:36:24,757 - server << Frame(fin=True, opcode=1, data=b'test')
2016-04-04 01:36:24,757 - server >> Frame(fin=True, opcode=1, data=b'test')
2016-04-04 01:36:29,118 - server << Frame(fin=True, opcode=1, data=b'test')
2016-04-04 01:36:29,118 - server >> Frame(fin=True, opcode=1, data=b'test')
2016-04-04 01:39:04,682 - server << Frame(fin=True, opcode=1, data=b'asdfasdlf')
2016-04-04 01:39:04,682 - server >> Frame(fin=True, opcode=1, data=b'asdfasdlf')
2016-04-04 01:39:05,180 - server << Frame(fin=True, opcode=1, data=b'asdlfkaj')
2016-04-04 01:39:05,180 - server >> Frame(fin=True, opcode=1, data=b'asdlfkaj')
2016-04-04 01:39:05,498 - server << Frame(fin=True, opcode=1, data=b'skldfja')
2016-04-04 01:39:05,499 - server >> Frame(fin=True, opcode=1, data=b'skldfja')
2016-04-04 01:39:06,033 - server << Frame(fin=True, opcode=1, data=b'sdfjadjf')
2016-04-04 01:39:06,033 - server >> Frame(fin=True, opcode=1, data=b'sdfjadjf')
2016-04-04 01:39:06,362 - server << Frame(fin=True, opcode=1, data=b'asdjf')
2016-04-04 01:39:06,362 - server >> Frame(fin=True, opcode=1, data=b'asdjf')
2016-04-04 01:39:06,635 - server << Frame(fin=True, opcode=1, data=b'akjsdf')
2016-04-04 01:39:06,635 - server >> Frame(fin=True, opcode=1, data=b'akjsdf')
2016-04-04 01:39:06,955 - server << Frame(fin=True, opcode=1, data=b'lkajsdfl')
2016-04-04 01:39:06,956 - server >> Frame(fin=True, opcode=1, data=b'lkajsdfl')
2016-04-04 01:39:07,110 - server << Frame(fin=True, opcode=1, data=b'ja')
2016-04-04 01:39:07,111 - server >> Frame(fin=True, opcode=1, data=b'ja')
2016-04-04 01:39:07,364 - server << Frame(fin=True, opcode=1, data=b'slkdfj')
2016-04-04 01:39:07,365 - server >> Frame(fin=True, opcode=1, data=b'slkdfj')
2016-04-04 01:39:07,693 - server << Frame(fin=True, opcode=1, data=b'alskjdfl')
2016-04-04 01:39:07,694 - server >> Frame(fin=True, opcode=1, data=b'alskjdfl')
2016-04-04 01:39:08,636 - server << Frame(fin=True, opcode=1, data=b'kajsdfkljaskldfjas')
2016-04-04 01:39:08,637 - server >> Frame(fin=True, opcode=1, data=b'kajsdfkljaskldfjas')
2016-04-04 01:39:08,961 - server << Frame(fin=True, opcode=1, data=b'dfklj')
2016-04-04 01:39:08,962 - server >> Frame(fin=True, opcode=1, data=b'dfklj')
2016-04-04 01:39:09,221 - server << Frame(fin=True, opcode=1, data=b'adlkjf')
2016-04-04 01:39:09,221 - server >> Frame(fin=True, opcode=1, data=b'adlkjf')
2016-04-04 01:39:09,502 - server << Frame(fin=True, opcode=1, data=b'alkdsjf')
2016-04-04 01:39:09,502 - server >> Frame(fin=True, opcode=1, data=b'alkdsjf')
2016-04-04 01:39:09,748 - server << Frame(fin=True, opcode=1, data=b'lkasdj')
2016-04-04 01:39:09,749 - server >> Frame(fin=True, opcode=1, data=b'lkasdj')
2016-04-04 01:39:10,027 - server << Frame(fin=True, opcode=1, data=b'flkasj')
2016-04-04 01:39:10,028 - server >> Frame(fin=True, opcode=1, data=b'flkasj')
2016-04-04 01:39:10,230 - server << Frame(fin=True, opcode=1, data=b'dfklj')
2016-04-04 01:39:10,230 - server >> Frame(fin=True, opcode=1, data=b'dfklj')
2016-04-04 01:39:10,565 - server << Frame(fin=True, opcode=1, data=b'aslkdfj')
